,rra_id,rra_playerId,rra_dateAt,rra_partnerId,rra_brandId,rra_campaignId,rra_playerCountry,rra_registrationsCount,rra_depositsCount,firstDepositsSumEur,depositsSumEur,c_registrationDateAt,c_gender,c_age
188014,299387785509460579,5383884,2020-09-07 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 16:31:06,m,27.0
188015,299397785523543907,5383884,2020-09-08 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 16:31:06,m,27.0
188016,299407785504892848,5383884,2020-09-09 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 16:31:06,m,27.0
188017,299367785532249779,5380869,2020-09-05 03:00:00,88092,102,100047,CH,1,5,50.0,250.0,2020-09-05 09:50:50,f,39.0
188018,299377785522053754,5380869,2020-09-06 03:00:00,88092,102,100047,CH,0,4,0.0,270.0,2020-09-05 09:50:50,f,39.0
188019,299387785509460584,5380869,2020-09-07 03:00:00,88092,102,100047,CH,0,1,0.0,50.0,2020-09-05 09:50:50,f,39.0
188020,249467784874274532,5384283,2020-09-13 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 17:00:28,m,34.0
188021,299367785533199272,5384283,2020-09-05 03:00:00,88092,102,100050,NL,1,1,200.0,200.0,2020-09-05 17:00:28,m,34.0
188022,102287837672705012,5384314,2020-09-14 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188023,112420630485893160,5384314,2020-10-15 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188024,134921442104220651,5384314,2020-10-24 03:00:00,88092,102,100050,NL,0,1,0.0,50.0,2020-09-05 17:33:03,f,60.0
188025,227580807927618530,5384314,2020-10-17 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188026,235750679634082780,5384314,2020-10-16 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188027,245031812012362786,5384314,2020-10-28 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188028,247602801003523463,5384314,2020-11-08 03:00:00,88092,102,100050,NL,0,2,0.0,40.0,2020-09-05 17:33:03,f,60.0
188029,249467784874274535,5384314,2020-09-13 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188030,281621102350940083,5384314,2020-10-20 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 17:33:03,f,60.0
188031,293144186375064563,5384314,2020-11-23 03:00:00,88092,102,100050,NL,0,0,0.0,0.0,2020-09-05 17:33:03,f,60.0
